condition,text,source_url
Lichen Planus,"Lichen planus can affect people of all ages, but it's most common in middle-aged adults. Women are slightly more likely to develop lichen planus than men. The condition often resolves on its own within 6 to 18 months, though it can persist for years in some cases. Long-term complications are rare but can include oral cancer, hearing loss, and glaucoma.","https://www.dermnetnz.org/topics/lichen-planus-prognosis"
Melanoma,"Melanoma is the most serious type of skin cancer. It develops in the cells (melanocytes) that produce melanin, the pigment that gives your skin its color. Melanoma can also form in the eyes and, rarely, in internal organs. While melanoma is less common than basal cell carcinoma and squamous cell carcinoma, it is more dangerous because of its ability to spread to other parts of the body if not caught early.","https://www.dermnetnz.org/topics/melanoma"
Melanoma,"The main cause of melanoma is exposure to ultraviolet (UV) light from sunlight or tanning beds. UV light damages the DNA in skin cells, leading to mutations that can cause cancer. Fair-skinned individuals with a history of sunburns, excessive UV exposure, or those who live in sunny or high-altitude climates are at increased risk. Having many moles or unusual moles increases the risk.","https://www.mayoclinic.org/diseases-conditions/melanoma/symptoms-causes/syc-20353603"
Melanoma,"Warning signs of melanoma include changes in an existing mole or the development of a new pigmented or unusual-looking growth on the skin. The ABCDE rule helps identify potential melanomas: Asymmetry, Border irregularity, Color variation, Diameter larger than 6mm, and Evolving size, shape, or color. Other signs include a sore that doesn't heal, spreading pigment from the edge of a spot, and redness or swelling beyond the border.","https://www.skincancer.org/skin-cancer-information/melanoma"
Melanoma,"Treatment for melanoma depends on the stage of the cancer. Options include surgical removal of the melanoma and a margin of normal skin, lymph node biopsy, immunotherapy, targeted therapy, chemotherapy, and radiation therapy. Early-stage melanomas are often treated with surgery alone. Advanced melanomas may require a combination of treatments.","https://www.aad.org/public/diseases/skin-cancer/melanoma"
Melanoma,"Prevention focuses on sun protection: using broad-spectrum sunscreen with SPF 30 or higher, seeking shade, wearing protective clothing, avoiding peak sun hours, and avoiding tanning beds. Regular skin self-exams and professional skin examinations are crucial for early detection. The ABCDE rule should be used during self-exams. Prompt treatment of suspicious lesions improves outcomes.","https://www.dermnetnz.org/topics/melanoma-prevention"
Molluscum Contagiosum,"Molluscum contagiosum is a viral skin infection that causes small, firm, rounded bumps with a dimple or pit in the center. The bumps are usually painless and appear in groups. They can occur anywhere on the body but are common on the face, neck, armpits, arms, and hands. The virus spreads through direct contact with the bumps or with items that have touched the bumps.","https://www.dermnetnz.org/topics/molluscum-contagiosum"
Molluscum Contagiosum,"Molluscum contagiosum spreads through direct skin-to-skin contact, touching objects that have the virus on them (like toys, towels, or clothing), and sexual contact with an infected person. Children often get it from close contact with other children. People with weakened immune systems may develop more widespread or persistent infections. The bumps usually disappear within 6 to 12 months without treatment, though they can persist for years.","https://www.mayoclinic.org/diseases-conditions/molluscum-contagiosum/symptoms-causes/syc-20353273"
Molluscum Contagiosum,"Treatment may not be necessary if the infection is mild and not causing problems. Treatment options include topical medications (such as podophyllotoxin, imiquimod, or tretinoin), cryotherapy, laser therapy, curettage, and certain oral medications. Treatment decisions consider the number and location of bumps, the patient's age and immune status, and the potential for scarring. In children, treatment is often delayed unless symptoms are severe.","https://www.aad.org/public/diseases/molluscum-contagiosum"
Molluscum Contagiosum,"Complications are rare but can include inflammation (dermatitis), secondary bacterial infections, and eye problems if molluscum contagiosum affects the eyelids. Scratching or picking at the bumps can cause skin damage and spread the virus. People with atopic dermatitis may be more prone to molluscum contagiosum. Good hygiene helps prevent spread.","https://www.dermnetnz.org/topics/molluscum-contagiosum-complications"
Nail Disease,"Nail diseases refer to a variety of conditions that affect the fingernails and toenails. Common nail disorders include fungal infections (onychomycosis), ingrown toenails, psoriasis of the nails, brittleness, ridges, discoloration, and separation of the nail from the nail bed. Nails can provide clues to overall health, and changes in the nails may signal underlying medical conditions.","https://www.dermnetnz.org/topics/nail-disease"
Nail Disease,"Fungal nail infections (onychomycosis) are caused by dermatophytes, yeasts, or molds that invade the nail bed and plate. Symptoms include thickened nails, discoloration (white, yellow, or brown), brittleness, crumbling, and separation of the nail from the nail bed. Toenails are more commonly affected than fingernails. Warm, moist environments increase the risk. Treatment can be lengthy and often requires oral antifungal medications.","https://www.mayoclinic.org/diseases-conditions/nail-fungus/symptoms-causes/syc-20353806"
Nail Disease,"Ingrown toenails occur when the corner or side of a toenail grows into the soft flesh of the toe. The result is pain, redness, swelling, and sometimes infection. Ingrown toenails are most common on the big toe but can occur on any toe. Improper toenail trimming, wearing shoes that crowd the toenails, and toenail trauma increase the risk. Proper nail care and footwear selection can help prevent ingrown toenails.","https://www.niams.nih.gov/health-topics/ingrown-toenail"
Nail Disease,"Nail psoriasis causes changes in the fingernails and toenails. Symptoms include pitting, abnormal nail growth, discoloration, loosening of the nail from the nail bed, and thickening of the nail. Psoriasis affects the nails in up to 50% of people who have psoriasis. Nail changes often occur alongside skin psoriasis. Treatment options include topical treatments, systemic medications, phototherapy, and biologics.","https://www.dermnetnz.org/topics/nail-psoriasis"
Nail Disease,"Brittle nails (onychoschizia) are characterized by nails that are easy to break, peel, or split. They are common in older adults and can be caused by frequent wetting and drying of the nails, exposure to chemicals like detergents and nail polish, nutritional deficiencies (biotin, iron, zinc), and thyroid disorders. Keeping nails trimmed and using moisturizers can help improve nail strength.","https://www.mayoclinic.org/diseases-conditions/brittle-nail-syndrome/symptoms-causes/syc-20353273"
Nail Disease,"Prevention and maintenance strategies include keeping nails clean and dry, using sharp nail clippers or scissors, avoiding nail-biting and cuticle picking, moisturizing nails and cuticles, using a base coat before applying nail polish, limiting nail polish use to prevent yellowing, and wearing gloves when working with chemicals or water. A balanced diet supports healthy nail growth.","https://www.dermnetnz.org/topics/nail-disease-prevention"
Psoriasis,"Psoriasis is a chronic autoimmune condition that causes the rapid buildup of skin cells. This buildup of cells causes scaling on the skin's surface. Inflammation and redness are common around the scales. Psoriasis is not contagious. It typically causes patches of thick, red skin with silvery scales. The condition can vary from mild to severe, affecting different parts of the body.","https://www.dermnetnz.org/topics/psoriasis"
Psoriasis,"The exact cause of psoriasis is unknown, but it's believed to involve a combination of genetic, immune system, and environmental factors. Triggers that can cause psoriasis flare-ups include infections, stress, cold weather, smoking, certain medications, and alcohol consumption. Genetics play a significant role - if you have a family member with psoriasis, you're more likely to develop it.","https://www.mayoclinic.org/diseases-conditions/psoriasis/symptoms-causes/syc-20353273"
Psoriasis,"Treatment aims to reduce inflammation and clear the skin. Treatment options include topical treatments (corticosteroids, vitamin D analogues, retinoids, etc.), systemic medications (methotrexate, cyclosporine, biologics), phototherapy, and lifestyle changes. The choice of treatment depends on the type, severity, and location of psoriasis, as well as patient preferences. Biologics have revolutionized psoriasis treatment in recent years.","https://www.aad.org/public/diseases/psoriasis"
Psoriasis,"There are several types of psoriasis, including plaque psoriasis (the most common), guttate psoriasis, inverse psoriasis, pustular psoriasis, and erythrodermic psoriasis. Plaque psoriasis appears as raised, red patches covered with a silvery-white buildup of dead skin cells. Guttate psoriasis appears as small, drop-like lesions.","https://www.niams.nih.gov/health-topics/psoriasis-types"
Psoriasis,"Complications of psoriasis can include psoriatic arthritis, eye conditions, obesity, type 2 diabetes, high blood pressure, cardiovascular disease, and other health issues. Up to 30% of people with psoriasis develop psoriatic arthritis. Proper management can reduce the risk of these complications. Regular follow-up with a healthcare provider is important for monitoring disease progression and treatment effectiveness.","https://www.dermnetnz.org/topics/psoriasis-complications"
Rosacea,"Rosacea is a common chronic inflammatory skin condition that primarily affects the face. It causes redness and visible blood vessels in the face, and may also produce small, red, pus-filled bumps. Symptoms often flare up for weeks or months and then go away for a while. Rosacea can affect anyone, but it's most common in middle-aged women with fair skin.","https://www.dermnetnz.org/topics/rosacea"
Rosacea,"The exact cause of rosacea is unknown, but it's believed to involve a combination of genetic, environmental, vascular, and inflammatory factors. Triggers that can cause rosacea flare-ups include hot drinks, spicy foods, alcohol, temperature extremes, wind, certain cosmetics, and certain medications. Demodex folliculorum mites on the skin may play a role in some cases. Stress, exercise, bathing with hot water, and cold temperatures can also trigger rosacea.","https://www.mayoclinic.org/diseases-conditions/rosacea/symptoms-causes/syc-20353273"
Rosacea,"Treatment focuses on controlling symptoms and managing the condition. This includes identifying and avoiding triggers, gentle skin care, and using medications to reduce redness and inflammation. Treatment options include topical medications, oral medications, laser therapy, intense pulsed light (IPL), and lifestyle changes. Green-tinted makeup can help conceal redness. Eye involvement requires special treatment from an ophthalmologist.","https://www.aad.org/public/diseases/rosacea"
Rosacea,"Subtypes of rosacea include erythematotelangiectatic rosacea (redness and visible blood vessels), papulopustular rosacea (redness, swelling, and pus-filled bumps), phymatous rosacea (thickening of the skin), and ocular rosacea (eye-related symptoms). Accurate diagnosis of the subtype is important for effective treatment. The central face is most commonly affected, but rosacea can appear in other areas of the body.","https://www.dermnetnz.org/topics/rosacea-subtypes"
Rosacea,"Lifestyle management is important for controlling rosacea. This includes avoiding known triggers, using gentle, fragrance-free cleansers, moisturizing, and using sunscreen daily. Dietary modifications may help some individuals. Regular exercise, stress management techniques, and adequate sleep contribute to overall well-being. Proper hydration helps prevent dry skin and dehydration.","https://www.niams.nih.gov/health-topics/rosacea-lifestyle"
Seborrheic Dermatitis,"Seborrheic dermatitis is a common skin condition that mainly affects the scalp. It causes scaly patches, red skin, and stubborn dandruff. It can also affect oily areas of the body, such as the face, sides of the nose, eyebrows, ears, eyelids, and chest. Seborrheic dermatitis can appear in infants as cradle cap, which is a scaly, greasy scalp rash.","https://www.dermnetnz.org/topics/seborrheic-dermatitis"
Seborrheic Dermatitis,"Seborrheic dermatitis is believed to result from a combination of factors: overproduction of oil (sebum) in the skin, irritation, and a yeast called Malassezia that lives on the skin. Triggers that can worsen seborrheic dermatitis include stress, hormonal changes, illness, harsh detergents, and solvents. It's not contagious, and the channel is not related to poor hygiene.","https://www.mayoclinic.org/diseases-conditions/seborrheic-dermatitis/symptoms-causes/syc-20353273"
Seborrheic Dermatitis,"Symptoms include scaly patches (which may be white or yellow), red skin, itching, and stubborn dandruff. In infants, seborrheic dermatitis causes cradle cap, which is a scaly, greasy scalp rash. On the face, it commonly affects the eyebrows, eyelids, and the areas around the nose and mouth. Scalp involvement is most common, but seborrheic dermatitis can affect other areas depending on the severity.","https://www.niams.nih.gov/health-topics/seborrheic-dermatitis"
Seborrheic Dermatitis,"Treatment focuses on controlling inflammation and reducing the overgrowth of Malassezia yeast. Treatment options include topical antifungal medications, corticosteroids, lithium succinate or gluconate, and ketoconazole shampoo. For severe cases, oral antifungal medications may be needed. Treatment in infants may differ from adults. Medicated shampoos, creams, and lotions are common treatment approaches.","https://www.aad.org/public/diseases/seborrheic-dermatitis"
Seborrheic Dermatitis,"Lifestyle and home remedies include regular cleansing with gentle products, avoiding harsh hair products, using antifungals like ketoconazole shampoo, and coconut oil. Diluted tea tree oil may help reduce inflammation. Washing hair too frequently can strip away natural oils. Overwashing can lead to dryness and irritation. Apple cider vinegar may help, but its effectiveness varies. Stress management techniques can help reduce flare-ups.","https://www.dermnetnz.org/topics/seborrheic-dermatitis-lifestyle"
Seborrheic Keratosis,"Seborrheic keratosis is a common benign skin growth that typically appears as a brown, black, or light tan growth on the face, chest, shoulders, or back. The growths have a waxy, scaly, slightly elevated appearance. They are often described as having a 'pasted-on' look. Seborrheic keratosis is one of the most common non-cancerous skin growths in older adults.","https://www.dermnetnz.org/topics/seborrheic-keratosis"
Seborrheic Keratosis,"Seborrheic keratosis is believed to result from a combination of factors: genetics, sun exposure, and skin aging. The exact cause is not fully understood. These growths are not caused by viruses and are not contagious. They are usually asymptomatic but may become irritated if rubbed by clothing or jewelry. They vary greatly in appearance, size, and thickness. Some may be flat, while others are domed or have a horn-like protrusion.","https://www.mayoclinic.org/diseases-conditions/seborrheic-keratosis/symptoms-causes/syc-20353273"
Seborrheic Keratosis,"Seborrheic keratosis lesions are usually stuck-on, warty, and have a well-defined border. They may be round or oval and have a central depression. Color varies widely from pink, white, or gray to dark brown or black. Some lesions may have a rough, sandpaper-like texture. The surface may feel greasy or oily to the touch. Growth is slow, and lesions persist for years without treatment.","https://www.niams.nih.gov/health-topics/seborrheic-keratosis"
Seborrheic Keratosis,"Treatment is usually not necessary unless the growths are causing symptoms such as itching, bleeding, or irritation from clothing or jewelry. Treatment options include cryotherapy, laser therapy, electrosurgery, curettage, and topical medications. Since seborrheic keratosis is benign, treatment is generally for cosmetic reasons or to relieve symptoms. Removal does not typically affect the risk of skin cancer.","https://www.aad.org/public/diseases/seborrheic-keratosis"
Seborrheic Keratosis,"Prevention strategies are limited since the cause is not fully understood. However, maintaining good skin health, protecting the skin from excessive sun exposure, and regular skin examinations are recommended. Avoiding skin trauma and keeping fingernails short can help prevent complications. Genetic counseling may be helpful for those with a family history of seborrheic keratosis.","https://www.dermnetnz.org/topics/seborrheic-keratosis-prevention"
Squamous Cell Carcinoma,"Squamous cell carcinoma (SCC) is the second most common form of skin cancer. It develops in the squamous cells that make up the middle and outer layers of the skin. SCC is usually found on sun-exposed skin but can occur anywhere on the body. While most squamous cell carcinomas are easy to treat and cure, they can be aggressive in some cases, especially if they grow deep into the skin or spread to lymph nodes or other organs.","https://www.dermnetnz.org/topics/squamous-cell-carcinoma"
Squamous Cell Carcinoma,"The primary cause of squamous cell carcinoma is long-term exposure to ultraviolet (UV) radiation from sunlight or tanning beds. Fair-skinned individuals with blond or red hair, light-colored eyes, and those who freckle or burn easily are at increased risk. A history of sunburns, especially during childhood, increases the risk. Exposure to certain chemicals such as arsenic, and certain types of human papillomavirus (HPV) also increase the risk.","https://www.mayoclinic.org/diseases-conditions/squamous-cell-carcinoma/symptoms-causes/syc-20353603"
Squamous Cell Carcinoma,"Squamous cell carcinoma often appears as a firm, red nodule, a flat lesion with a scaly crust, or a sore that doesn't heal. It may develop within scars or skin ulcers. Other signs include a rough, scaly patch, a raised growth with a central depression, or wart-like growth. Lymph node invasion is possible in advanced cases.","https://www.skincancer.org/skin-cancer-information/squamous-cell-carcinoma"
Squamous Cell Carcinoma,"Treatment options for squamous cell carcinoma depend on the type, location, size, and depth of the tumor, as well as patient preferences. Common treatments include surgical excision, Mohs surgery, electrodesiccation and curettage, cryotherapy, topical medications, photodynamic therapy, laser surgery, and radiation therapy. The stage of the cancer influences treatment decisions.","https://www.aad.org/public/diseases/skin-cancer/squamous-cell-carcinoma"
Squamous Cell Carcinoma,"Regular skin self-exams and professional skin examinations are important for early detection. When detected early, squamous cell carcinoma is highly treatable. Prevention focuses on sun protection: using broad-spectrum sunscreen with SPF 30 or higher, seeking shade, wearing protective clothing, and avoiding tanning beds. Regular dermatologist visits for skin checks are recommended for those at high risk.","https://www.dermnetnz.org/topics/squamous-cell-carcinoma-prevention"
Tinea,"Tinea is a group of fungal infections of the skin, also known as dermatomycoses or ringworm. Despite the name, it is not caused by worms but by fungi. Common types include athlete's foot (tinea pedis), jock itch (tinea cruris), ringworm (tinea corporis), and scalp ringworm (tinea capitis). These infections spread through direct contact with infected people, animals, soil, or contaminated objects.","https://www.dermnetnz.org/topics/fungal-infections"
Tinea,"Tinea infections typically cause itchy, red, scaly, or flaky skin. The rash may have a raised, border that expands outward, creating a ring-like arrangement (hence the name ringworm). The affected area may be lighter or darker than the surrounding skin. Some fungal infections cause cracking, peeling, or blistering. The fungi thrive in warm, moist environments and feed on keratin, a protein found in skin, hair, and nails.","https://www.mayoclinic.org/diseases-conditions/fungal-skin-infections/symptoms-causes/syc-20353806"
Tinea,"Treatment usually involves antifungal medications applied directly to the skin (topical) or taken by mouth (oral). Over-the-counter antifungal creams, powders, and sprays are effective for many mild to moderate infections. Prescription-strength topical antifungals or oral antifungal medications may be needed for severe, extensive, or resistant infections. Keeping the area clean and dry is important during treatment.","https://www.aad.org/public/diseases/fungal-infections"
Tinea,"Prevention involves keeping the skin clean and dry, changing socks and underwear daily, wearing breathable fabrics, wearing footwear in public showers, locker rooms, and pool areas, not sharing personal items like towels, clothing, or hairbrushes, and washing hands thoroughly after touching animals or soil. Antifungal powders can help keep feet dry.","https://www.dermnetnz.org/topics/fungal-infection-prevention"
Tinea,"Certain factors increase the risk of fungal skin infections, including warm, humid environments, excessive sweating, poor hygiene, weakened immune system, diabetes, obesity, pregnancy, and certain medications like corticosteroids or antibiotics. People who participate in sports or activities that cause frequent skin-to-skin contact are also at increased risk.","https://www.mayoclinic.org/diseases-conditions/fungal-skin-infections/risk-factors"
Urticaria,"Urticaria, commonly known as hives, is a skin reaction that causes itchy welts. Urticaria can be acute or chronic. Acute urticaria lasts less than six weeks and is usually caused by an allergic reaction to food, medication, or an irritant. Chronic urticaria lasts more than six weeks and the cause is often unidentified. The welts can vary in size, shape, and color.","https://www.dermnetnz.org/topics/urticaria"
Urticaria,"Urticaria occurs when certain cells release histamine and other chemicals into the bloodstream. This causes blood vessels to leak fluid, which accumulates in the tissues and causes swelling. Triggers that can cause urticaria flare-ups include foods, medications, insects, latex, blood transfusions, and physical stimuli like pressure, cold, heat, exercise, or sun exposure. Stress, infections, and underlying medical conditions can also contribute to chronic urticaria.","https://www.mayoclinic.org/diseases-conditions/urticaria/symptoms-causes/syc-20353273"
Urticaria,"Treatment focuses on relieving symptoms and identifying and avoiding triggers. Over-the-couranduckerminodine, antibiotics, or antifungal medications.","https://www.mayoclinic.org/diseases-conditions/urticaria/symptoms-causes/syc-20353273"
Urticaria,"Chronic urticaria may require additional treatments such as immunosuppressants, biologics, or other medications. Avoiding known triggers is key. Keeping a symptom diary can help identify triggers. Cool compresses or ice packs can help with the swelling. Wearing loose, breathable clothing can help with comfort. Regular follow-up with a healthcare provider is important to monitor the condition and treatment effectiveness.","https://www.niams.nih.gov/health-topics/urticaria-chronic"
Urticaria,"Physical urticaria is triggered by physical stimuli and includes dermatographic urticaria (writing on the skin), pressure urticaria (swelling from pressure), cold urticaria (swelling from cold exposure), heat uromatitis, and aquagenic urticaria (swelling from water exposure), and vibratory urticaria (swelling from vibration). Identifying the specific type helps with targeted treatment.","https://www.dermnetnz.org/topics/urticaria-physical"
Vitiligo,"Vitiligo is a long-term condition where pale white patches develop on the skin due to lack of melanin, the pigment that gives skin its color. Vitiligo affects the skin on any part of the body. It can happen at any age, but it's more noticeable in people with darker skin. The condition is progressive, meaning it can spread to other parts of the body over time.","https://www.dermnetnz.org/topics/vitiligo"
Vitiligo,"The exact cause of vitiligo is unknown, but it's believed to be an autoimmune condition where the body's immune system mistakenly attacks and destroys the melanocytes in the skin. Genetic factors, oxidative stress, and neurological factors may also play a role. Certain triggers such as sunburn, emotional stress, or chemical exposure can exacerbate the condition. Vitiligo is not contagious.","https://www.mayoclinic.org/diseases-conditions/vitiligo/symptoms-causes/syc-20353273"
Vitiligo,"Treatment aims to restore color to the white patches of skin. Treatment options include topical corticosteroids, topical calcineurin inhibitors, psoralen plus ultraviolet A (PUVA) therapy, narrowband ultraviolet B (UVB) therapy, excimer laser, depigmentation (for widespread vitiligo), and surgical procedures. Results vary from person to person, and treatment may take months or years to show improvement. Skin grafting and blister grafting are also options for severe cases.","https://www.aad.org/public/diseases/vitiligo"
Vitiligo,"Management strategies include protecting the sun exposure with sunscreen, wearing protective clothing, using cosmetics to conceal white patches, and counseling. Support groups can provide emotional support. Regular follow-up with a dermatologist is important for monitoring the condition and treatment effectiveness. Sunscreen is essential to prevent further depigmentation and to maintain results. Camouflage makeup and self-tanning products can help achieve a more even skin tone.","https://www.dermnetnz.org/topics/vitiligo-management"
Warts,"Warts are benign skin growths caused by infection with human papillomavirus (HPV). There are over 100 types of HPV, and different types cause different kinds of warts. Common types include common warts, plantar warts, flat warts, and filiform warts. Warts can appear anywhere on the body but are most commonly found on the hands and feet. They are usually harmless but can be painful and can lead to complications if left untreated.","https://www.dermnetnz.org/topics/warts"
Warts,"Warts spread through direct contact with a wart or with items that have touched a wart. Biting nails or picking at cuticles can spread the virus. People with weakened immune systems may have difficulty fighting off the virus and may develop more warts. Warts are more common in children and teenagers, though adults can get them too. The virus can survive on surfaces for a period of time.","https://www.mayoclinic.org/diseases-conditions/warts/symptoms-causes/syc-20353273"
Warts,"Treatment options depend on the type and location of the wart. Over-the-counter treatments containing salicylic acid are often effective for common warts and plantar warts. Cryotherapy (freezing with liquid nitrogen) is a common treatment option. Other options include laser therapy, electrosurgery, and immunotherapy. Treatment may take several weeks or months to show results. Persistent warts may require stronger treatments.","https://www.aad.org/public/diseases/warts"
Warts,"Prevention involves avoiding direct contact with warts, wearing protective gloves when handling potentially contaminated materials, and washing hands regularly. Keeping feet clean and dry can help prevent plantar warts. Covering warts with bandages can help prevent spreading the virus. Disinfecting surfaces that may harbor the virus can help prevent spread. Using condoms during sexual activity can help prevent genital warts.","https://www.dermnetnz.org/topics/warts-prevention"
Warts,"Certain factors increase the risk of wart development, including weakened immune system, skin trauma, certain occupations (like butchers, poultry farmers, and engineers), and chronic skin conditions. Genetic factors may also play a role. Warts on the genital area are caused by specific types of HPV and may lead to complications if left untreated. Complications can include discomfort, bleeding, infection, and difficulty with urination.","https://www.mayoclinic.org/diseases-conditions/warts/risk-factors"